u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
215,218,4.014,-3.1898900,55.9455820,-3.1898260,55.9455840,10.185593,0.375000
215,223,7.144,-3.1898900,55.9455820,-3.1898000,55.9456220,10.942709,0.375000
216,217,5.935,-3.1898610,55.9473330,-3.1898270,55.9472830,8.462279,0.500000
216,258,34.366,-3.1898610,55.9473330,-3.1893470,55.9474460,7.858248,0.750000
217,219,1.202,-3.1898270,55.9472830,-3.1898200,55.9472730,12.097036,0.250000
218,226,4.268,-3.1898260,55.9455840,-3.1897580,55.9455870,11.482698,0.250000
219,235,15.430,-3.1898200,55.9472730,-3.1895910,55.9473260,12.932495,0.250000
220,229,7.707,-3.1898130,55.9455480,-3.1896980,55.9455730,10.109123,0.250000
221,225,11.012,-3.1898090,55.9451170,-3.1897630,55.9450220,10.985594,0.375000
222,224,3.945,-3.1898060,55.9472540,-3.1897840,55.9472200,12.456563,0.250000
222,257,31.008,-3.1898060,55.9472540,-3.1893510,55.9473670,11.795010,0.250000
223,228,5.650,-3.1898000,55.9456220,-3.1897310,55.9456550,11.915945,0.250000
224,232,8.820,-3.1897840,55.9472200,-3.1896510,55.9472490,12.671129,0.250000
225,227,3.011,-3.1897630,55.9450220,-3.1897500,55.9449960,10.904103,0.375000
225,273,40.141,-3.1897630,55.9450220,-3.1891410,55.9451180,10.748116,0.375000
226,230,4.712,-3.1897580,55.9455870,-3.1896840,55.9455970,11.426564,0.250000
227,234,33.284,-3.1897500,55.9449960,-3.1896070,55.9447070,13.812041,0.125000
228,231,5.678,-3.1897310,55.9456550,-3.1896650,55.9456900,11.038678,0.250000
229,233,6.546,-3.1896980,55.9455730,-3.1896170,55.9456110,10.665847,0.375000
230,233,4.449,-3.1896840,55.9455970,-3.1896170,55.9456110,11.118129,0.375000
231,236,6.875,-3.1896650,55.9456900,-3.1895870,55.9457340,11.206754,0.250000
232,265,25.494,-3.1896510,55.9472490,-3.1892690,55.9473310,9.349409,0.375000
233,237,4.239,-3.1896170,55.9456110,-3.1895570,55.9456290,11.199821,0.375000
235,257,15.592,-3.1895910,55.9473260,-3.1893510,55.9473670,11.083935,0.250000
236,241,6.208,-3.1895870,55.9457340,-3.1895210,55.9457760,11.547130,0.250000
237,242,4.122,-3.1895570,55.9456290,-3.1895030,55.9456500,12.269079,0.250000
238,243,3.002,-3.1895320,55.9459050,-3.1894950,55.9458870,9.147591,0.375000
239,254,11.170,-3.1895280,55.9455630,-3.1893920,55.9456280,11.163438,0.250000
240,251,7.169,-3.1895260,55.9479320,-3.1894150,55.9479480,11.902415,0.125000
241,244,4.338,-3.1895210,55.9457760,-3.1894850,55.9458090,9.400844,0.375000
242,248,4.721,-3.1895030,55.9456500,-3.1894500,55.9456810,11.208472,0.250000
243,245,3.024,-3.1894950,55.9458870,-3.1894790,55.9458610,10.039421,0.375000
243,247,2.797,-3.1894950,55.9458870,-3.1894510,55.9458840,11.486233,0.375000
244,246,4.136,-3.1894850,55.9458090,-3.1894770,55.9458460,10.024886,0.375000
244,255,5.866,-3.1894850,55.9458090,-3.1893910,55.9458090,10.499052,0.500000
245,246,1.718,-3.1894790,55.9458610,-3.1894770,55.9458460,12.486524,0.250000
247,253,3.573,-3.1894510,55.9458840,-3.1893930,55.9458870,11.658811,0.375000
248,261,13.144,-3.1894500,55.9456810,-3.1893120,55.9457700,9.614930,0.500000
249,362,86.911,-3.1894470,55.9445890,-3.1881000,55.9447940,11.759469,0.375000
250,282,42.095,-3.1894460,55.9465320,-3.1889030,55.9463060,11.369332,0.250000
251,260,8.351,-3.1894150,55.9479480,-3.1893150,55.9478980,11.074900,0.250000
252,256,3.291,-3.1894060,55.9475290,-3.1893860,55.9475020,7.545756,0.625000
252,303,56.623,-3.1894060,55.9475290,-3.1885580,55.9477130,10.464452,0.500000
253,255,8.630,-3.1893930,55.9458870,-3.1893910,55.9458090,10.659682,0.500000
253,259,3.889,-3.1893930,55.9458870,-3.1893340,55.9458980,10.591246,0.375000
254,271,15.404,-3.1893920,55.9456280,-3.1892040,55.9457180,9.711003,0.375000
255,261,6.591,-3.1893910,55.9458090,-3.1893120,55.9457700,7.546353,0.625000
256,258,6.664,-3.1893860,55.9475020,-3.1893470,55.9474460,7.640306,0.750000
256,283,33.634,-3.1893860,55.9475020,-3.1888820,55.9476100,10.015884,0.500000
258,262,6.583,-3.1893470,55.9474460,-3.1893090,55.9473900,10.698369,0.500000
258,272,12.530,-3.1893470,55.9474460,-3.1891600,55.9474870,9.522027,0.500000
259,263,3.575,-3.1893340,55.9458980,-3.1892840,55.9459140,12.848642,0.250000
260,295,42.562,-3.1893150,55.9478980,-3.1886730,55.9480290,11.641924,0.250000
261,266,5.071,-3.1893120,55.9457700,-3.1892640,55.9458070,9.025640,0.500000
261,271,8.819,-3.1893120,55.9457700,-3.1892040,55.9457180,8.051931,0.625000
262,265,7.019,-3.1893090,55.9473900,-3.1892690,55.9473310,10.504588,0.375000
263,267,3.079,-3.1892840,55.9459140,-3.1892470,55.9459320,10.111075,0.250000
264,268,9.031,-3.1892730,55.9474180,-3.1892210,55.9473420,12.564343,0.250000
264,274,9.406,-3.1892730,55.9474180,-3.1891330,55.9474490,9.073511,0.500000
265,268,3.210,-3.1892690,55.9473310,-3.1892210,55.9473420,12.045152,0.375000
266,270,5.796,-3.1892640,55.9458070,-3.1892100,55.9458490,11.133521,0.250000
267,269,2.840,-3.1892470,55.9459320,-3.1892190,55.9459520,11.938877,0.250000
269,285,43.418,-3.1892190,55.9459520,-3.1888200,55.9462720,11.130277,0.375000
270,277,20.254,-3.1892100,55.9458490,-3.1890200,55.9459970,12.469905,0.250000
271,278,21.436,-3.1892040,55.9457180,-3.1889870,55.9458680,11.760299,0.375000
272,274,4.556,-3.1891600,55.9474870,-3.1891330,55.9474490,10.181647,0.500000
273,276,5.726,-3.1891410,55.9451180,-3.1890530,55.9451320,10.597308,0.250000
274,275,8.975,-3.1891330,55.9474490,-3.1890800,55.9473740,11.666338,0.375000
274,279,10.382,-3.1891330,55.9474490,-3.1889780,55.9474840,9.190285,0.500000
276,297,24.866,-3.1890530,55.9451320,-3.1886680,55.9451920,11.475888,0.375000
277,298,37.836,-3.1890200,55.9459970,-3.1886610,55.9462720,10.236030,0.250000
